,,,,,,,,,
PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Neemias Queta,C,6.30%,9.5,11,6' 10.75'',7' 0.25'',9' 3.5'',225.8,7' 4.25''
Cameron Reddish,SF,4.70%,9,9,6' 6.5'',6' 8'',8' 9.5'',207.8,7' 0.5''
Naz Reid,PF,14.00%,9.5,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25''
Isaiah Roby,PF,3.90%,9,10.5,6' 7.25'',6' 8.5'',8' 10'',214,7' 1''
Luka Samanic,PF,5.60%,8.5,9,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5''
Admiral Schofield,SF,6.80%,8.75,9,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75''
Marial Shayok,SF-PF,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25''
Simisola Shittu,PF,6.20%,8.75,8.5,6' 8.5'',6' 9.5'',8' 10'',227.2,7' 1.25''
Killian Tillie,,-%,-,-,,,,-,
P.J. Washington,PF,8.60%,9,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25''
Tremont Waters,PG,6.60%,8,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25''
Quinndary Weatherspoon,SG,6.10%,8.5,9,6' 3'',6' 4.25'',8' 4'',206.6,6' 9''
Coby White,PG,4.30%,7.75,9,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5''
Kris Wilkes,SF,4.90%,8.5,9.5,6' 6.25'',6' 7.75'',8' 7'',208.8,6' 10.75''
Grant Williams,PF,5.40%,9,10.5,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75''
Zion Williamson,PF,-%,-,-,,,,-,
Dylan Windler,SF,4.60%,8.25,9.5,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10''
Rawle Alkins,SG,8.90%,8.5,10,6' 2.75'',6' 4.25'',8' 3'',217.4,6' 8.75''
Grayson Allen,SG,5.55%,8.25,10,6' 3'',6' 4.5'',8' 1'',198,6' 7.25''
Kostas Antetokounmpo,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Udoka Azubuike,C,7.95%,9.5,10,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7''
Mohamed Bamba,C,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10''
Jaylen Barford,PG-SG,11.65%,8,8.25,6' 1.25'',6' 2.25'',8' 0.5'',207.6,6' 3.5''
Keita Bates-Diop,SG-SF,5.35%,9,8.5,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25''
Tyus Battle,SG,4.00%,8.5,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9''
Brian Bowen,SG-SF,7.60%,9,10,6' 6.25'',6' 7.5'',8' 7.5'',202,6' 10.25''
Miles Bridges,SF,5.90%,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
Bruce Brown,SG-PG,3.75%,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9''
Troy Brown,SF,7.05%,9,9.75,6' 5.75'',6' 6.75'',8' 9'',208,6' 10.25''
Jalen Brunson,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
Tony Carr,PG,6.50%,8.5,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25''
Jevon Carter,PG,4.15%,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25''
Wendell Carter,C-PF,7.85%,8.5,9,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5''
Donte DiVincenzo,SG,5.00%,8.25,9,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6''
Hamidou Diallo,SG,4.45%,8.75,9,6' 4.25'',6' 6'',8' 7'',197,6' 11.5''
Trevon Duval,PG,5.20%,8.75,10,6' 1.5'',6' 2.5'',8' 1.5'',191,6' 8.25''
Carsen Edwards,PG,6.30%,8.5,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25''
Keenan Evans,PG,6.50%,8.5,8,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25''
Jacob Evans,SG-SF,6.50%,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
Bruno Fernando,C,5.25%,9.5,10,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25''
Melvin Frazier,SF-SG,7.90%,9.5,9.5,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75''
Shai Gilgeous-Alexander,PG,3.00%,9,9,6' 4.5'',6' 6'',8' 8'',180,6' 11.5''
Devonte Graham,PG,4.80%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25''
Isaac Haas,C,12.55%,10,10.5,7' 1.25'',7' 2.75'',9' 3.5'',303,7' 5''
Devon Hall,SG,8.45%,8.5,10,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
Jaylen Hands,PG,5.00%,8,8,6' 1.5'',6' 2.75'',8' 2'',179,6' 5.5''
Kevin Hervey,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
Aaron Holiday,PG,6.40%,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187,6' 7.5''
Kevin Huerter,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5''
Jaren Jackson,PF-C,7.20%,10,10,6' 9.75'',6' 11.25'',9' 2'',236,7' 5.25''
Justin Jackson,PF,8.90%,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
Alize Johnson,PF,8.10%,8.5,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75''
George King,SF-SG,7.25%,9,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5''
Kevin Knox,SF,4.95%,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75''
Sagaba Konate,C,7.35%,9.25,10,6' 6.5'',6' 7.5'',8' 10.5'',246,7' 0''
Caleb Martin,SF-SG,7.00%,8.5,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10''
Cody Martin,SG-SF,5.45%,8.5,9,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25''
Yante Maten,PF-C,8.10%,9.25,10,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5''
Brandon McCoy,C,8.70%,9.75,9.5,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2''
DeAnthony Melton,SG-PG,5.20%,8.5,9.5,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5''
Chimezie Metu,PF-C,5.05%,9,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5''
Shake Milton,SG-PG,6.80%,8.75,9.5,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75''
Sviatoslav Mykhailiuk,SG-SF,8.45%,8.25,9.5,6' 6.5'',6' 7.75'',8' 4'',211.6,6' 4.75''
Malik Newman,SG,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
Josh Okogie,SG,5.20%,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
Theo Pinson,SG-SF,7.35%,9,9,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75''
Jontay Porter,C-PF,13.85%,8.75,9.5,6' 10'',6' 11.5'',9' 1'',236,7' 0.25''
Michael Porter,SF-PF,6.40%,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211,7' 0.25''
Billy Preston,PF,5.45%,9.25,9.5,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2''
Jerome Robinson,SG,6.05%,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25''
Collin Sexton,PG,5.60%,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25''
Landry Shamet,PG,4.85%,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
Anfernee Simons,SG-PG,7.70%,8.75,9,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25''
Zhaire Smith,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75''
Ray Spalding,PF,5.55%,9.25,9,6' 9'',6' 10.25'',9' 1'',215.4,7' 4.75''
Omari Spellman,PF-C,13.75%,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
Khyri Thomas,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
Gary Trent,SG,7.00%,8.5,9.5,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75''
Allonzo Trier,SG,4.95%,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198,6' 6.75''
Moritz Wagner,C-PF,6.75%,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
Lonnie Walker,SG,5.65%,9,9.5,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25''
PJ Washington,PF,6.85%,9,10.25,6' 6.5'',6' 8'',8' 11'',223,7' 2.5''
Austin Wiley,C,5.00%,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5''
Kris Wilkes,SF,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205,6' 10.25''
Kenrich Williams,SF,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
Trae Young,PG,5.35%,8,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3''
Edrice Adebayo,PF-C,5.20%,9.5,8.75,6' 8.75'',6' 9.75'',9' 0'',242.6,7' 2.75''
Rawle Alkins,SG-SF,11.00%,8.75,10,6' 2.5'',6' 3.75'',8' 3'',222.6,6' 8.75''
Jarrett Allen,C,7.40%,9.5,10.5,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25''
Kadeem Allen,PG,6.40%,8.5,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25''
Ike Anigbogu,C,5.40%,9.5,10,6' 8.5'',6' 9.75'',9' 2.5'',252.2,7' 6.25''
OG Anunoby,SF,6.80%,9.25,9.5,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25''
Jamel Artis,SG-SF,11.90%,9.25,9.75,6' 5.5'',6' 6.75'',8' 9'',213.2,6' 10''
Dwayne Bacon,SG-SF,7.90%,8.75,10,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10''
V.J. Beachem,SG-SF,6.80%,8.5,9,6' 6.25'',6' 8'',8' 8.5'',193.4,6' 10.25''
Jordan Bell,PF,5.40%,9.25,9.5,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75''
Jaron Blossomgame,SF,5.70%,8.75,10.25,6' 5.75'',6' 6.75'',8' 8.5'',218.6,6' 10''
Chris Boucher,PF,5.40%,9.25,10.5,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4''
Tony Bradley,C,12.00%,9.5,9.5,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5''
Isaiah Briscoe,PG,11.00%,9,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9''
Dillon Brooks,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6''
Thomas Bryant,PF-C,9.40%,9.5,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6''
Zach Collins,PF-C,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1''
John Collins,PF,5.40%,9,10,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25''
Hamidou Diallo,SG-SF,5.20%,8.5,9.5,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25''
Tyler Dorsey,SG,4.70%,8.5,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25''
Damyean Dotson,SG-SF,5.30%,8.5,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9''
PJ Dozier,SG,6.10%,8.5,9.5,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11''
Jawun Evans,PG,9.10%,8,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5''
Terrance Ferguson,SG-SF,5.80%,8.5,10,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75''
De?Aaron Fox,PG,4.50%,8.5,8.5,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5''
Markelle Fultz,PG,-%,-,-,,,,-,
Harry Giles,PF,5.20%,9.5,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232,7' 3.25''
Josh Hart,SG-SF,5.80%,8.5,9.5,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25''
Nigel Hayes,PF,11.50%,8.75,10,6' 6.25'',6' 7.5'',8' 8.5'',254.2,7' 3.25''
Isaiah Hicks,PF,7.70%,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5''
Wesley Iwundu,SG-SF,4.00%,8.75,9.5,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1''
Frank Jackson,PG,6.70%,8.25,9,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5''
Justin Jackson (UMD),SF,7.10%,9,9.5,6' 5.75'',6' 7'',8' 11'',219.4,7' 3.25''
Justin Jackson (UNC),SF,8.10%,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11''
Peter Jok,SG-SF,11.00%,8.25,9.5,6' 4.25'',6' 5.75'',8' 6'',202.4,6' 8''
Luke Kennard,SG-SF,6.60%,8,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25''
Kyle Kuzma,SF-SG,9.40%,8.5,9.5,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25''
TJ Leaf,PF,6.80%,8.5,9.5,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11''
Tyler Lydon,PF,13.60%,8.75,8.75,6' 8.25'',6' 9.5'',8' 11.5'',215,7' 0''
Frank Mason III,PG,4.30%,8,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25''
Kennedy Meeks,C,11.50%,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1''
Donovan Mitchell,SG,5.90%,8.5,9.5,6' 1.25'',6' 3'',8' 1'',211.4,6' 10''
Monte Morris,PG,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4''
Johnathan Motley,PF,-%,9,9.5,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4''
Svi Mykhailiuk,SG-SF,11.40%,8,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5''
Semi Ojeleye,SF-SG,5.50%,8.75,9.5,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75''
Cameron Oliver,PF,7.70%,9.5,10.25,6' 7'',6' 8.25'',8' 10.5'',238.6,7' 1.25''
Justin Patton,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229,7' 3''
Alec Peters,PF,8.80%,8.75,10,6' 7.25'',6' 8.75'',8' 9'',232,6' 10.75''
Ivan Rabb,PF,6.80%,8.75,9,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5''
Davon Reed,SG-SF,6.50%,9.25,9.5,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0''
Devin Robinson,SF,3.20%,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75''
Kobi Simmons,PG,5.00%,8.5,9.5,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6''
Edmond Sumner,PG,8.30%,8.25,9,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9''
Caleb Swanigan,PF,-%,9.5,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3''
Sindarius Thornwell,SG-SF,7.80%,8.75,8.75,6' 3.5'',6' 4.75'',8' 7'',211.6,6' 10''
Melo Trimble,PG,10.60%,8,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2''
Moritz Wagner,PF,6.70%,8.75,10.75,6' 10'',6' 11.25'',9' 0'',231.2,7' 0''
Derrick Walton Jr.,PG,5.80%,8,8.5,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5''
Thomas Welsh,PF-C,10.90%,9,10.5,6' 11.5'',7' 0.5'',9' 1.5'',254,7' 0''
Derrick White,PG,6.20%,8.25,8.5,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5''
Nigel Williams-Goss,PG,5.60%,8.75,9.25,6' 1.5'',6' 3'',8' 3'',190.2,6' 7.25''
D.J. Wilson,PF,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3''
Omer Yurtseven,C,7.60%,9,10.5,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1''
Ron Baker,SG,7.85%,8.75,9.5,6' 3.25'',6' 4.25'',8' 1.5'',212.4,6' 9.75''
Wade Baldwin IV,PG,5.20%,9,9.75,6' 2.5'',6' 4'',8' 4'',201.8,6' 11.25''
Cat Barber,PG,4.50%,8,8.5,6' 1.5'',6' 2.75'',7' 11.5'',173,6' 5.5''
Malik Beasley,SG,6.90%,8.5,9,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7''
DeAndre Bembry,SG-SF,7.00%,8,9.25,6' 4.25'',6' 5.75'',8' 5'',206.6,6' 9.25''
Ben Bentil,PF,9.70%,9.5,10,6' 7.25'',6' 8.25'',8' 9'',229.2,7' 1.5''
Jaron Blossomgame,SF,5.25%,8.5,10,6' 6.25'',6' 7.25'',8' 6'',213.6,6' 10''
Joel Bolomboy,PF,5.15%,9,10.25,6' 7.5'',6' 9'',8' 7.5'',224.4,7' 1.75''
Malcolm Brogdon,SG,5.40%,9,10.25,6' 3.75'',6' 5.5'',8' 2'',223,6' 10.5''
Jaylen Brown,SG-SF,5.05%,8.75,9,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75''
Marquese Chriss,PF,8.50%,9,9,6' 8.75'',6' 10'',8' 9'',233,7' 0.25''
Elgin Cook,SF,6.35%,8.5,10.25,6' 5'',6' 6.25'',8' 4.5'',209.8,6' 10''
Isaiah Cousins,PG,4.80%,8.25,8.75,6' 3.25'',6' 4.5'',8' 2.5'',194,6' 6.25''
Deyonta Davis,PF,9.70%,9,9.25,6' 9.25'',6' 10.5'',9' 0.5'',237.2,7' 2.5''
Cheick Diallo,PF,5.60%,8.5,9.75,6' 7.5'',6' 9'',8' 11.5'',218.6,7' 4.5''
Kris Dunn,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',-,6' 9.5''
Henry Ellenson,PF,11.20%,8.5,9.75,6' 10'',6' 11.5'',9' 0'',242,7' 2.25''
Perry Ellis,PF,4.60%,8,8.5,6' 7'',6' 8.25'',8' 6'',217.8,6' 10.25''
Kay Felder,PG,5.80%,8.25,8.5,5' 8.25'',5' 9.5'',7' 4.5'',177.2,6' 2.5''
Dorian Finney-Smith,SF,6.45%,9,9.75,6' 6.5'',6' 7.75'',8' 9.5'',212.6,6' 11.75''
Michael Gbinije,SG,5.40%,8,9,6' 5.5'',6' 6.75'',8' 5'',204.6,6' 7.5''
Daniel Hamilton,SG-SF,5.95%,9,8.5,6' 6.25'',6' 8'',8' 7.5'',197,6' 9''
Josh Hart,SG,5.75%,8.5,9.25,6' 4'',6' 5.5'',8' 3.5'',203.6,6' 8.5''
Nigel Hayes,SF-PF,10.90%,8.5,9.5,6' 6.25'',6' 7.25'',8' 11.5'',245,7' 3''
Buddy Hield,SG,6.10%,8.5,9,6' 3.75'',6' 5'',8' 5'',212.4,6' 9.25''
Justin Jackson,SF,7.60%,8.75,8.75,6' 7'',6' 8.25'',8' 7.5'',193.4,6' 10.75''
Demetrius Jackson,PG,6.50%,8.25,9,6' 0'',6' 1.25'',7' 9'',193.8,6' 5.5''
Brice Johnson,PF,7.50%,9,8.25,6' 9'',6' 10.5'',8' 10.5'',208.6,7' 0.5''
Damian Jones,C,6.55%,8.75,10.5,6' 10.25'',6' 11.5'',8' 11'',243.6,7' 3.75''
Skal Labissiere,PF-C,5.70%,8.75,9,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5''
Jake Layman,SF,7.10%,8.25,9.25,6' 8'',6' 9.25'',8' 6'',208.6,6' 9.25''
Caris LeVert,SG,7.55%,8.5,9.25,6' 5.75'',6' 7'',8' 5'',191,6' 10''
Marcus Lee,PF-C,5.35%,9,9,6' 9'',6' 10.25'',8' 11.5'',211,7' 3''
Thon Maker,PF,6.05%,8.75,9.5,6' 11.75'',7' 0.75'',9' 2.5'',216,7' 3''
Patrick McCaw,PG-SG,4.70%,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10''
Malik Newman,SG,5.60%,8.25,9.25,6' 2.25'',6' 3.5'',8' 1.5'',182.2,6' 5.75''
Georges Niang,PF,10.05%,9.25,9.25,6' 6.75'',6' 8.5'',8' 7'',230.8,6' 10''
Chinanu Onuaku,C,8.55%,9,8,6' 9'',6' 10'',9' 0.5'',245.2,7' 2.75''
Marcus Paige,PG,4.30%,7.75,8.75,6' 0.5'',6' 1.75'',8' 1'',163.8,6' 6.25''
Gary Payton II,PG,3.95%,8.75,9.5,6' 2'',6' 3'',8' 3.5'',183.8,6' 8''
Jakob Poeltl,C,5.80%,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239,7' 2.75''
Taurean Prince,SF,6.45%,9,8.5,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5''
Zhou Qi,PF-C,4.85%,9.25,9.5,7' 1.25'',7' 2.25'',9' 4.5'',218.2,7' 7.75''
Malachi Richardson,SG-SF,7.00%,8.75,10,6' 4.75'',6' 6.25'',8' 5.5'',199.6,7' 0''
Wayne Selden,SG,7.30%,9,9.25,6' 4.25'',6' 5.75'',8' 5'',232.4,6' 10.5''
Pascal Siakam,PF,5.20%,9.25,10,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25''
Diamond Stone,C,12.85%,8.5,7.75,6' 9'',6' 10.25'',9' 0.5'',254.4,7' 2.75''
Caleb Swanigan,PF,12.55%,9,10.25,6' 7.5'',6' 8.5'',8' 11'',246.6,7' 3.5''
Melo Trimble,PG,8.35%,8,8.75,6' 1.25'',6' 2.5'',7' 8.5'',191.8,6' 2''
Tyler Ulis,PG,5.20%,7.5,7.5,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2''
Jarrod Uthoff,PF,6.00%,8.75,9,6' 8.5'',6' 9.75'',8' 8'',214.4,6' 11.5''
Denzel Valentine,SG-SF,9.20%,8.5,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75''
Isaiah Whitehead,PG-SG,9.25%,8.5,8.75,6' 3.25'',6' 4.5'',8' 4'',210,6' 8.75''
Troy Williams,SF,10.00%,8.25,9.25,6' 5.75'',6' 6.75'',8' 6'',217.8,6' 8.25''
Kyle Wiltjer,PF,15.25%,8.25,9.5,6' 8.75'',6' 10'',8' 6.5'',242.8,7' 0.25''
Stephen Zimmerman,C,11.15%,9,9,6' 10.25'',6' 11.75'',9' 0.5'',234,7' 3.25''
Cliff Alexander,PF-C,5.80%,9.5,10.25,6' 7.25'',6' 8.5'',9' 1.5'',239.2,7' 3.5''
Justin Anderson,SF-SG,5.00%,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75''
Brandon Ashley,PF,8.80%,9,9.5,6' 7.25'',6' 8.5'',8' 9'',228,7' 3.75''
Ryan Boatright,PG,6.60%,7.5,8.75,5' 10'',5' 11'',7' 8.5'',169.6,6' 0.5''
Devin Booker,SG,8.30%,8.75,9,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25''
Anthony Brown,SF-SG,6.10%,8.5,9,6' 5.75'',6' 7.25'',8' 8.5'',211,6' 11''
Willie Cauley-Stein,C,6.30%,9.5,9,6' 11.25'',7' 0.5'',9' 3'',242.4,7' 3''
Rakeem Christmas,PF-C,9.60%,9.25,9,6' 8.25'',6' 9.75'',9' 2.5'',242.6,7' 5.25''
Pat Connaughton,SG,10.20%,8.5,9.25,6' 4'',6' 5.25'',8' 0'',215,6' 8''
Quinn Cook,PG,6.70%,7.5,8.75,6' 0.25'',6' 2'',8' 0.5'',179,6' 4''
Branden Dawson,PF,5.80%,9,8.75,6' 5.5'',6' 6.75'',8' 9'',230.2,6' 11''
Sam Dekker,SF,7.50%,8.5,9.25,6' 7.75'',6' 9'',8' 10'',218.6,6' 11.5''
Michael Frazier II,SG,7.40%,8.25,9.25,6' 3.75'',6' 4.25'',8' 5.5'',199.4,6' 8''
Treveon Graham,SF,5.50%,8.5,8.25,6' 4'',6' 5.75'',8' 7'',219.4,6' 10.5''
Jerian Grant,PG,5.60%,8.25,8.5,6' 3.25'',6' 4.25'',8' 4'',198,6' 7.5''
Olivier Hanlan,PG-SG,4.30%,8,8.75,6' 3.25'',6' 4.25'',8' 4'',185.8,6' 6''
Montrezl Harrell,PF,11.90%,9,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25''
Andrew Harrison,PG,5.90%,8.25,9.25,6' 4.5'',6' 5.5'',8' 4'',213.2,6' 9''
Aaron Harrison,SG,6.00%,8.75,10,6' 4.5'',6' 6'',8' 4.5'',209.2,6' 8.25''
Tyler Harvey,SG,9.20%,7.75,8.75,6' 2.75'',6' 4'',8' 2.5'',181.4,6' 5.5''
Corey Hawkins,SG-PG,5.50%,8.75,9,6' 0.75'',6' 1.75'',8' 3.5'',191.8,6' 8''
Rondae Hollis-Jefferson,SF,5.00%,8.75,9.75,6' 5.5'',6' 7'',8' 8'',210.8,7' 2''
Richaun Holmes,PF,8.80%,8.5,8.5,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5''
Jonathan Holmes,PF-SF,7.20%,8.25,9.5,6' 8.25'',6' 9.25'',8' 11.5'',242.2,6' 11.5''
R.J. Hunter,SG,6.00%,8.5,8.25,6' 4.5'',6' 6'',8' 8'',185,6' 10.5''
Vince Hunter,PF,4.60%,9,8.75,6' 6.75'',6' 7.5'',8' 8.5'',208.4,6' 11''
Dakari Johnson,C,14.90%,9.25,10.5,6' 11'',6' 11.75'',9' 4'',264.6,7' 2''
Stanley Johnson,SF,7.50%,9,9,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5''
Tyus Jones,PG,6.50%,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5''
Frank Kaminsky,C-PF,9.40%,8.5,9.5,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11''
Kevon Looney,PF,11.90%,9.5,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5''
Trey Lyles,PF,12.10%,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5''
Jarell Martin,PF,10.10%,8.25,9.5,6' 8'',6' 9.25'',8' 10.5'',238.6,6' 9''
TJ McConnell,PG,7.30%,7.5,7,6' 0.5'',6' 2'',8' 0.5'',187.8,6' 2''
Chris McCullough,PF,6.20%,8.75,8.75,6' 8.25'',6' 9'',9' 1'',199,7' 3.25''
Jordan Mickey,PF,7.20%,8.75,9.5,6' 7'',6' 8.25'',8' 10'',238,7' 3.25''
Larry Nance,PF,6.40%,9,9.75,6' 7.5'',6' 8.5'',9' 0'',226.6,7' 1.5''
Kelly Oubre,SF-SG,5.70%,9,8.75,6' 5.75'',6' 6.75'',8' 6.5'',202.8,7' 2.25''
