,,,,,,,,
PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)",Year
DeMarre Carroll,PF-SF,-,-,-,-,-,-,2009
Omri Casspi,SF,11.15,-,3.28,25.5,32.5,2,2009
Dionte Christmas,SG,10.83,-,3.21,27,33.5,3,2009
Earl Clark,SF-PF,11.17,-,3.35,28.5,33,5,2009
Darren Collison,PG,10.45,-,3.1,30.5,33.5,9,2009
Dante Cunningham,PF,11.18,-,3.26,28,35,18,2009
Stephen Curry,PG-SG,11.07,-,3.28,29.5,35.5,10,2009
Austin Daye,SF-PF,12.11,-,3.55,25,28,-,2009
DeMar DeRozan,SG-SF,11.88,-,3.31,29,38.5,5,2009
Toney Douglas,PG,10.63,-,3.03,28,32.5,15,2009
Wayne Ellington,SG,11.14,-,3.2,31.5,38,13,2009
Tyreke Evans,PG-SG,11.81,-,3.17,28.5,34,7,2009
Jonny Flynn,PG,10.86,-,3.23,33,40,10,2009
Taj Gibson,PF,11.56,-,3.41,25.5,30,12,2009
Danny Green,SG-SF,11.3,-,3.3,29,33,15,2009
Blake Griffin,PF,10.95,-,3.28,32,35.5,22,2009
Tyler Hansbrough,PF,11.12,-,3.27,27.5,34,18,2009
James Harden,SG,11.1,-,3.13,31.5,37,17,2009
Gerald Henderson,SG-SF,11.17,-,3.14,31.5,35,8,2009
Josh Heytvelt,PF-C,11.67,-,3.38,28.5,34,15,2009
Jordan Hill,PF-C,12.23,-,3.3,31,35,11,2009
Jrue Holiday,PG-SG,10.64,-,3.21,28.5,34,6,2009
Joe Ingles,SF,10.66,-,3.3,26,31,3,2009
James Johnson,SF-PF,11.21,-,3.23,30.5,35,18,2009
Ty Lawson,PG,10.98,-,3.12,29,36.5,14,2009
Eric Maynor,PG,10.78,-,3.19,28.5,31.5,8,2009
Jack McClinton,SG-PG,10.44,-,3.21,30,36.5,13,2009
Jerel McNeal,SG,10.61,-,3.25,31.5,36.5,10,2009
Jodie Meeks,SG,10.96,-,3.1,28.5,37,14,2009
Patty Mills,PG,10.87,-,3.1,27.5,33,8,2009
Byron Mullens,C,11.1,-,3.45,28.5,32.5,10,2009
A.J. Price,PG,10.99,-,3.22,26,31,11,2009
Tyler Smith,SF,10.69,-,3.24,29,33.5,10,2009
DaJuan Summers,SF,10.94,-,3.17,29.5,34.5,15,2009
Jermaine Taylor,SG,11.54,-,3.32,34,37.5,16,2009
Jeff Teague,PG,11.05,-,3.18,30.5,36.5,13,2009
Hasheem Thabeet,C,-,-,-,-,-,-,2009
Marcus Thornton,SG,10.73,-,3.28,31,33,14,2009
Terrence Williams,SG-SF,11.15,-,3.18,30.5,37,9,2009
Sam Young,SF-SG,11.47,-,3.45,27.5,33,-,2009
Joe Alexander,SF-PF,11.33,-,2.99,32.5,38.5,24,2008
Darrell Arthur,PF,12.18,-,3.14,28.5,30,12,2008
D.J. Augustin,PG,11.27,-,3.07,28.5,35,2,2008
Jerryd Bayless,PG-SG,11.26,-,3.07,31,38,10,2008
Michael Beasley,PF-SF,11.06,-,3.24,30,35,19,2008
Ramel Bradley,PG-SG,10.68,-,3.24,24.5,29.5,9,2008
Tyrone Brazelton,PG,11.59,-,3.25,30,34,8,2008
Takais Brown,PF,12.47,-,3.25,29,31,22,2008
Keith Brumbaugh,SF-PF,11.65,-,3.28,26,27,2,2008
Stanley Burrell,PG,11.19,-,3.19,29.5,34.5,21,2008
Brian Butch,C-PF,11.87,-,3.52,24,26.5,9,2008
Jamar Butler,PG,-,-,-,-,-,15,2008
Pat Calathes,SF-PF,-,-,-,-,-,7,2008
Joe Crawford,SG,11.67,-,3.22,31,36,13,2008
Chris Daniels,C-PF,12.72,-,3.56,26,28.5,11,2008
Joey Dorsey,PF-C,11.84,-,3.2,27.5,33,19,2008
Marcus Dove,SF-PF,11.59,-,3.26,27.5,33.5,10,2008
Josh Duncan,PF,12.47,-,3.26,28,32,26,2008
Frank Elegar,PF,11.86,-,3.17,33.5,37.5,11,2008
Patrick Ewing Jr.,SF-PF,11.77,-,3.43,35,42,2,2008
Gary Forbes,SG,11.45,-,3.25,27.5,33.5,13,2008
Shan Foster,SG,12.3,-,3.24,30,33,10,2008
J.R. Giddens,SG,-,-,-,-,-,10,2008
James Gist,PF,11.37,-,3.14,30.5,35,5,2008
Vladimir Golubovic,C,12.4,-,3.33,21.5,27,15,2008
Eric Gordon,SG,10.81,-,3.01,32,40,15,2008
Kentrell Gransberry,C,12.16,-,3.32,24.5,27.5,18,2008
Donte Greene,SF-PF,11.21,-,3.2,27.5,31.5,2,2008
Malik Hairston,SG,11.33,-,3.08,30.5,38,13,2008
DeVon Hardin,C-PF,11.49,-,3.33,29.5,32,20,2008
Richard Hendrix,PF,10.62,-,3.27,26.5,28,13,2008
George Hill,PG,12.2,-,3.07,34,37.5,9,2008
Kyle Hines,SF-PF,12.17,-,3.4,28.5,33,16,2008
Jiri Hubalek,C-PF,12.26,-,3.54,20.5,26,2,2008
Lester Hudson,PG,11.15,-,3.16,30.5,36,12,2008
Othello Hunter,PF-SF,11.51,-,3.18,28,34.5,7,2008
Darnell Jackson,PF,11.75,-,3.26,27,31,11,2008
Shawn James,PF,-,-,-,-,-,6,2008
Davon Jefferson,SF,12.02,-,3.36,27,32,2,2008
Joseph Jones,PF,11.61,-,3.33,25.5,31,16,2008
DeAndre Jordan,C,12.3,-,3.27,26,30.5,8,2008
Sasha Kaun,C-PF,12.06,-,3.2,29,32,13,2008
Marcelus Kemp,SG,11.79,-,3.39,26,30,9,2008
Maarty Leunen,SF,11.57,-,3.36,29.5,34.5,14,2008
Longar Longar,C,-,-,-,-,-,14,2008
Brook Lopez,C,12.77,-,3.57,27.5,30.5,7,2008
Kevin Love,PF,11.17,-,3.22,29.5,35,18,2008
Aleks Maric,C,11.76,-,3.35,23,28,15,2008
O.J. Mayo,SG-PG,11.04,-,3.14,30.5,41,7,2008
James Mays,PF,11.23,-,3.19,29.5,35,13,2008
Luc Mbah a Moute,SF,11.71,-,3.17,32,38.5,11,2008
JaVale McGee,C-PF,12.75,-,3.25,27,32.5,7,2008
Drew Neitzel,PG,11.19,-,3.2,25.5,32,10,2008
DeMarcus Nelson,PG-SG,10.54,-,3.13,34.5,38.5,19,2008
David Padgett,C-PF,12.45,-,3.45,24,28,17,2008
Jeremy Pargo,PG,10.65,-,3.07,32,37,7,2008
Trent Plaisted,PF,11.32,-,3.17,30.5,35.5,14,2008
Quan Prowell,SF-PF,11.79,-,3.14,32,36,16,2008
Shaun Pruitt,C-PF,11.3,-,3.4,27,32.5,10,2008
Anthony Randolph,PF-SF,11.86,-,3.26,29,35,7,2008
Charles Rhodes,PF,11.51,-,3.13,26.5,33.5,14,2008
John Riek,C,-,-,-,-,-,-,2008
Brian Roberts,PG,10.65,-,3.05,31.5,36.5,10,2008
Russell Robinson,PG,11.3,-,3.15,25,31.5,8,2008
Richard Roby,SG-SF,-,-,-,-,-,-,2008
Derrick Rose,PG,11.69,-,3.05,34.5,40,10,2008
Sean Singletary,PG,-,-,-,26,-,18,2008
Ronald Steele,PG,11.08,-,3.26,25,29.5,5,2008
Mike Taylor,SG-PG,10.98,-,3.08,31,39,2,2008
Bryce Taylor,SG,11.08,-,3.19,34.5,41,16,2008
Mark Tyndale,SG-SF,12.52,-,3.14,27,33.5,5,2008
Robert Vaden,SG,11.97,-,3.4,26,29.5,10,2008
Deron Washington,SF,11.03,-,3.09,34,40,7,2008
Sonny Weems,SG-SF,10.58,-,2.96,29,36.5,12,2008
Russell Westbrook,PG,10.98,-,3.08,30,36.5,12,2008
Reggie Williams,SG,11.32,-,3.07,31.5,36.5,15,2008
Mohamed Abukar,SF,11.78,-,3.37,30.5,35,15,2007
Mario Boggan,PF,12.18,-,3.45,24,26.5,12,2007
Craig Bradshaw,PF,11.88,-,3.54,26,28,12,2007
Corey Brewer,SF-SG,11.69,-,3.22,30.5,36.5,11,2007
Aaron Brooks,PG,10.57,-,3.2,32.5,39.5,6,2007
Bobby Brown,PG,11.27,-,3.25,32.5,41,3,2007
Russell Carter,SG,11.61,-,3.29,33,38.5,25,2007
Coleman Collins,PF,11.47,-,-,30,35,21,2007
Mike Conley,PG,11.63,-,3.09,35.5,40.5,13,2007
Daequan Cook,SG,11.12,-,3.22,30,34.5,4,2007
Ryvon Covile,C-PF,12.52,-,3.37,25,30.5,19,2007
Javaris Crittenton,PG,11.6,-,3.32,32.5,38,11,2007
Jermareo Davidson,PF,12.63,-,3.53,27,30,7,2007
Justin Doellman,PF,-,-,-,-,-,19,2007
Zabian Dowdell,PG,11.13,-,3.29,30,33.5,3,2007
Jared Dudley,SF,11.32,-,3.45,28,32,14,2007
Kevin Durant,SF-PF,12.33,-,3.45,26,33.5,-,2007
Rashaun Freeman,PF,11.43,-,3.41,28,32,20,2007
Aaron Gray,C,12.07,-,3.7,27,32.5,17,2007
Caleb Green,PF,11.72,-,3.46,28.5,36,9,2007
Jeff Green,SF,12,-,3.34,33.5,38,17,2007
Taurean Green,PG,11.3,-,3.26,29,32.5,8,2007
Spencer Hawes,PF,11.88,-,3.51,26,29,9,2007
Brandon Heath,PG,11.39,-,3.28,32,36,11,2007
Herbert Hill,C,12.31,-,3.39,30.5,34,15,2007
Al Horford,PF,12.15,-,3.37,31,35.5,20,2007
Quinton Hosley,SF-SG,12.47,-,3.32,28.5,34,12,2007
James Hughes,C,13.31,-,3.37,31,33,8,2007
Jeremy Hunt,SG,12.11,-,3.29,30.5,33,10,2007
Ekene Ibekwe,PF,11,-,3.28,34.5,39,10,2007
Dominic James,PG,10.94,-,3.11,33.5,38.5,14,2007
Trey Johnson,SG,11.78,-,3.31,26.5,35,18,2007
Rashad Jones-Jennings,PF,12.18,-,3.29,25,30,20,2007
Jared Jordan,PG,11.02,-,3.39,24.5,28.5,6,2007
Coby Karl,SG-PG,11.57,-,3.41,32,34.5,9,2007
Antanas Kavaliauskas,PF,11.19,-,3.42,25.5,30,19,2007
Carl Landry,PF,11.35,-,3.29,31.5,36.5,21,2007
Stephane Lasme,PF,11.73,-,3.22,29.5,36,17,2007
Acie Law,PG,11,-,3.22,29,34,8,2007
Marko Lekic,C,11.96,-,3.43,24,30.5,19,2007
Ron Lewis,SG,11.59,-,3.22,33,38,16,2007
Cartier Martin,SF,12.1,-,3.43,27,29.5,11,2007
Dominic McGuire,SF,10.95,-,3.25,28.5,34.5,12,2007
Josh McRoberts,PF,11.7,-,3.47,27.5,31.5,12,2007
Sammy Mejia,SG,11.87,-,3.49,27,31.5,7,2007
Brad Newley,SG,11.77,-,3.29,29.5,31.5,3,2007
Demetris Nichols,SF,10.39,-,3.38,28.5,32.5,16,2007
Joakim Noah,PF,11.79,-,3.47,32.5,37.5,12,2007
Greg Oden,C,11.67,-,3.27,32,34,-,2007
Ivan Radenovic,PF,11.61,-,3.6,23,28,7,2007
JR Reynolds,PG,11.69,-,3.24,27.5,34.5,15,2007
Chris Richard,PF,11.39,-,3.29,26.5,30.5,15,2007
Dustin Salisbery,SG,11.07,-,3.12,34,38,11,2007
Blake Schilb,SG,11.63,-,3.36,26.5,33.5,11,2007
Renaldas Seibutis,SG,11.33,-,3.39,24,32.5,1,2007
Ramon Sessions,PG,11.65,-,3.27,29.5,33.5,8,2007
Mustafa Shakur,PG,11.82,-,3.27,28.5,35,11,2007
Jason Smith,PF,10.96,-,3.29,33.5,37.5,15,2007
DJ Strawberry,SG,10.87,-,3.14,28.5,35,21,2007
Rodney Stuckey,SG-PG,11.34,-,3.11,30.5,35,14,2007
Curtis Sumpter,SF,11.3,-,3.22,27.5,32.5,12,2007
Yue Sun,SF,10.68,-,3.45,29,34,9,2007
Jamaal Tatum,PG,11.51,-,3.22,28.5,33,7,2007
Reyshawn Terry,SF,11.76,-,3.26,31,37.5,18,2007
Al Thornton,SF,11.96,-,3.16,35,41,9,2007
Anthony Tolliver,PF,11.49,-,3.29,28.5,30,21,2007
Ali Traore,C-PF,12.16,-,3.52,25,29,11,2007
Kyle Visser,C,12.6,-,3.39,26,29,18,2007
Darryl Watkins,C,11.65,-,3.56,26.5,31,14,2007
Major Wingate,C,12.14,-,3.47,27.5,30.5,15,2007
DaShaun Wood,PG,11.4,-,3.23,31.5,34.5,13,2007
Julian Wright,SF-PF,11.48,-,3.36,28.5,33.5,2,2007
Brandan Wright,PF,11.76,-,3.31,30.5,35.5,2,2007
Avis Wyatt,PF,11.46,-,3.23,27.5,32,12,2007
Jianlian Yi,,-,-,-,-,-,-,2007
Nick Young,SG-SF,11,-,3.25,39.5,40.5,6,2007
Thaddeus Young,SF,11.06,-,3.19,34.5,37,13,2007
Kenny Adeleke,PF-C,11.57,-,3.47,28.5,30.5,26,2006
Maurice Ager,SG-PG,11.73,-,3.22,29.5,35,11,2006
LaMarcus Aldridge,PF-C,12.02,-,3.43,26.5,34,8,2006
Morris Almond,SG-SF,11.45,-,3.19,31,35.5,13,2006
Lou Amundson,PF,10.58,-,3.2,32,35.5,14,2006
Rashad Anderson,SG,11.77,-,3.48,27.5,32.5,13,2006
Hilton Armstrong,C-PF,12.28,-,3.53,28.5,31.5,13,2006
James Augustine,PF,10.54,-,3.25,30,32.5,13,2006
Renaldo Balkman,SF-PF,11.58,-,3.22,30.5,35,9,2006
J.P. Batista,PF,11.62,-,3.38,26,30.5,26,2006
Will Blalock,PG,11.08,-,3.18,35,40,8,2006
Brandon Bowman,SF,11.41,-,3.31,31,34,24,2006
Ronnie Brewer,SG-PG,11.32,-,3.14,35,41,19,2006
Denham Brown,SG-SF,11.42,-,3.25,28,34.5,12,2006
Brad Buckman,PF,12.26,-,3.54,25.5,30.5,10,2006
Nik Caner-Medley,SF,10.57,-,3.21,28.5,35.5,17,2006
Rodney Carney,SG-SF,10.57,-,3.06,32,38.5,10,2006
Keydren Clark,PG,11.03,-,3.11,31,34,13,2006
Mardy Collins,PG-SG,12,-,3.27,31.5,37.5,9,2006
Taquan Dean,SG-PG,10.53,-,3.2,30.5,34.5,16,2006
Terence Dials,PF-C,11.54,-,3.5,26.5,30,16,2006
Sean Dockery,PG-SG,10.88,-,3.34,29,33,4,2006
Jordan Farmar,PG,11.07,-,3.17,33.5,42,11,2006
Randy Foye,SG-PG,10.53,-,3.23,32,38,14,2006
Torin Francis,PF-C,11.97,-,3.51,26.5,32,9,2006
Rudy Gay,SF-PF,11.03,-,3.32,33,40.5,9,2006
Nick George,SF-SG,11.69,-,3.25,30.5,38,14,2006
Taj Gray,PF-SF,11.02,-,3.45,28.5,33,10,2006
Dan Grunfeld,SF-SG,11.3,-,3.46,28,33.5,16,2006
Matt Haryasz,PF-C,11.34,-,3.46,27.5,31.5,10,2006
Eric Hicks,PF,12.06,-,3.34,30,34,20,2006
Tedric Hill,SF-PF,12.23,-,3.24,30,36.5,1,2006
Daniel Horton,PG-SG,10.35,-,3.16,30,36.5,17,2006
Bobby Jones,SF-SG,11.23,-,3.28,28.5,34.5,15,2006
Solomon Jones,PF-C,11.27,-,3.3,32,39,6,2006
Viktor Keyru,SG-PG,11.4,-,3.24,29,34.5,11,2006
Marco Killingsworth,PF,11.42,-,3.34,28,32,13,2006
Tarence Kinsey,SF-SG,10.67,-,3.3,29,35.5,5,2006
Carl Krauser,PG,11.62,-,3.38,26,31,8,2006
Chris McCray,SG,11.46,-,3.34,30.5,39,1,2006
Gerry McNamara,PG-SG,11.28,-,3.4,27,32,3,2006
Pops Mensah-Bonsu,PF-C,11.47,-,3.29,31.5,36,19,2006
Paul Miller,PF-C,12.25,-,3.66,29,35.5,25,2006
Paul Millsap,PF,11.67,-,3.3,28.5,32.5,15,2006
Dwayne Mitchell,SG-SF,11.45,-,3.16,37.5,41.5,17,2006
Adam Morrison,SF,11.46,-,3.37,25.5,30.5,11,2006
Yemi Nicholson,PF-C,12.57,-,3.65,26.5,26,8,2006
David Noel,SF-SG,10.54,-,3.07,34.5,38.5,20,2006
Steve Novak,SF,11.11,-,3.37,24.5,31,5,2006
Patrick O'Bryant,C,12.68,-,3.63,26.5,30,13,2006
Danilo Pinnock,PG-SG,11.91,-,3.08,29.5,35.5,7,2006
Chris Quinn,PG-SG,11.25,-,3.25,32,37,7,2006
Allan Ray,SG,11.01,-,3.2,28.5,35.5,9,2006
JJ Redick,SG,10.94,-,3.29,27.5,33,6,2006
Antywane Robinson,SF-PF,11.73,-,3.4,29,32.5,12,2006
Brandon Roy,SG-SF,11.13,-,3.27,34,40.5,6,2006
Blake Schilb,PG-SG,11.25,-,3.43,28.5,34.5,13,2006
Mouhamed Sene,C,12.52,-,3.38,28.5,31,7,2006
Cedric Simmons,PF-C,11.05,-,3.31,30.5,35,15,2006
Marcus Slaughter,PF-SF,11.56,-,3.4,30,34,9,2006
Craig Smith,PF,11.59,-,3.4,30,29.5,-,2006
Steven Smith,SF-PF,12.08,-,3.4,29.5,34.5,15,2006
Michael Southhall,C,12.29,-,3.51,31.5,37,2,2006
Frans Steyn,C,11.67,-,3.38,28.5,29.5,-,2006
Curtis Stinson,SG,10.95,-,3.27,28,31.5,17,2006
Tyrus Thomas,PF-SF,11.36,-,3.2,34,39.5,8,2006
Joah Tucker,SF-SG,11.58,-,3.31,29,34,19,2006
Ian Vouyoukas,C-PF,13.7,-,3.72,23,28,8,2006
Darius Washington,PG,10.71,-,3.26,29,37.5,9,2006
CJ Watson,PG,11.61,-,3.15,31.5,34,12,2006
Marcus Williams,PG,11.3,-,3.4,24.5,28,4,2006
Shawne Williams,SF-PF,10.69,-,3.3,32,31,-,2006
Justin Williams,C-PF,11.9,-,3.31,26.5,31.5,7,2006
Shelden Williams,PF-C,11.53,-,3.59,29,33.5,25,2006
Eric Williams,C-PF,11.71,-,3.56,28.5,29,17,2006
Curtis Withers,PF-SF,11.54,-,3.1,35,36.5,14,2006
Alex Acker,SG,11.67,-,3.35,28,32,11,2005
Deji Akindele,C-PF,12.58,-,3.35,30.5,32.5,13,2005
Mustafa Al-Sayyad,PF-C,11.56,-,3.42,26.5,30.5,-,2005
Nemanja Aleksandrov,PF-SF,-,-,-,-,-,5,2005
Alan Anderson,SG-SF,10.32,-,3.27,26.5,30.5,10,2005
Martynas Andriuskevicius,C-PF,11.94,-,3.42,24,27.5,-,2005
Sean Banks,SF,11.74,-,3.35,25,31.5,7,2005
Eddie Basden,SG-SF,10.52,-,3.21,33,36.5,14,2005
Mike Bell,SF-PF,11.73,-,3.29,33.5,39.5,13,2005
Andrew Bogut,C-PF,12.06,-,3.51,27.5,33.5,13,2005
Dee Brown,PG-SG,-,-,-,-,-,-,2005
Will Bynum,PG-SG,11.12,-,3,33,40.5,15,2005
Marcus Campbell,C,-,-,-,-,-,9,2005
Will Conroy,PG,10.51,-,3.28,30.5,36.5,14,2005
Taylor Coppenrath,PF-SF,11.51,-,3.44,24.5,27,5,2005
Travis Diener,PG-SG,10.85,-,3.26,24.5,31,1,2005
Ike Diogu,PF,11.94,-,3.45,28,31,21,2005
Daryl Dorsey,PG,11.41,-,3.24,25,30.5,-,2005
Monta Ellis,SG-PG,12.13,-,3.31,26.5,31.5,-,2005
Raymond Felton,PG,10.5,-,3.06,29,33.5,6,2005
Rudy Fernandez,SG,10.48,-,3.33,26.5,35.5,-,2005
D'Or Fischer,C-PF,12.53,-,3.5,28,30.5,2,2005
Eddy Fobbs,C-PF,11.53,-,3.28,29.5,34,12,2005
Sharrod Ford,PF,11.92,-,3.2,28.5,37,9,2005
Channing Frye,PF-C,11.6,-,3.38,27.5,31,19,2005
Deng Gai,PF-C,12.51,-,3.27,31.5,35.5,11,2005
Francisco Garcia,SF-SG,10.63,-,3.33,27.5,31.5,5,2005
John Gilchrist,PG,11.48,-,3.15,30.5,36.5,12,2005
Marcin Gortat,PF-C,11.48,-,3.33,29.5,36,18,2005
Joey Graham,SF,10.62,-,3.05,30,36,26,2005
Danny Granger,,10.84,-,3.34,31,34,10,2005
Gerald Green,SF,11.2,-,3.21,31.5,39,7,2005
Charles Hayes,SF-PF,10.7,-,3.34,30,33,20,2005
Luther Head,PG-SG,11.12,-,3.21,31.5,38.5,14,2005
Julius Hodge,SG-SF,10.89,-,3.18,24.5,29,14,2005
Jared Homan,C-PF,-,-,-,-,-,16,2005
Ersan Ilyasova,SF,11.59,-,3.56,22,30,2,2005
Jarrett Jack,PG,10.87,-,3.24,26,28.5,5,2005
Dwayne Jones,C-PF,11.87,-,3.25,28,31.5,15,2005
Mindaugas Katelynas,SF-PF,11.6,-,3.38,31.5,35,7,2005
Jason Klotz,C-PF,13.13,-,3.68,21.5,27,12,2005
Carl Krauser,PG-SG,11.62,-,3.38,26,31,8,2005
Keith Langford,SG-SF,11.38,-,3.23,32,29.5,8,2005
David Lee,PF,10.8,-,3.19,30.5,32.5,14,2005
David Lucas,PF,-,-,-,-,-,17,2005
John Lucas III,PG,10.44,-,3.14,29,34,4,2005
Rawle Marshall,SG-SF,11.64,-,3.21,30.5,37,7,2005
Jason Maxiell,PF,-,-,-,-,-,-,2005
Sean May,PF,11.04,-,3.29,30,33,12,2005
Rashad McCants,SG,10.39,-,3.11,32.5,34.5,15,2005
Ivan McFarlin,PF,10.64,-,3.27,26.5,32,10,2005
Juan Mendez,PF-SF,11.7,-,3.24,29,33,14,2005
Aaron Miles,PG,10.69,-,3.22,32,37.5,7,2005
Ellis Myles,PF,12.8,-,3.42,26,28.5,15,2005
Larry O'Bannon,SG,11.44,-,3.18,31.5,36.5,17,2005
Drago Pasalic,SF-PF,12.12,-,3.48,25,30.5,11,2005
Chris Paul,PG,11.09,-,3.22,32,38,10,2005
Kevin Pittsnogle,PF,-,-,-,-,-,-,2005
Carlos Powell,SF-PF,11.54,-,3.21,27.5,34.5,12,2005
Roger Powell,SF,-,-,-,-,-,-,2005
Ronnie Price,PG,10.49,-,3.29,31.5,39,11,2005
Anthony Roberson,PG,11.17,-,3.19,31.5,37,14,2005
Brandon Rush,SG-SF,11.33,-,3.31,32.5,35,-,2005
Luke Schenscher,C,12.4,-,3.47,23.5,26.5,1,2005
Wayne Simien,PF,11.05,-,3.35,27,27.5,11,2005
Tre Simmons,SG-SF,10.8,-,3.18,27,31.5,3,2005
David Simon,C-PF,11.98,-,3.44,28,33,18,2005
Chris Taft,PF,11.26,-,3.27,28.5,33,14,2005
Chris Thomas,PG,10.84,-,3.33,28.5,34,14,2005
Omar Thomas,SF-SG,11.11,-,3.27,25,29.5,6,2005
Dijon Thompson,SF-SG,-,-,-,-,-,-,2005
Ronny Turiaf,PF,11.5,-,3.23,30.5,33,15,2005
Charlie Villanueva,PF-SF,10.86,-,3.3,26,31,11,2005
Hakim Warrick,PF-SF,-,-,3.22,33,38,11,2005
Martell Webster,SF,11.39,-,3.39,28,30.5,7,2005
Robert Whaley,PF-C,12.11,-,3.25,28.5,33.5,15,2005
Marvin Williams,PF-SF,11.11,-,3.17,29.5,35,12,2005
Deron Williams,PG,10.83,-,3.25,30,35,15,2005
Jawad Williams,SF,11.39,-,3.23,28,34,15,2005
Antoine Wright,SF-SG,11.45,-,3.41,26.5,29.5,12,2005
Bracey Wright,SG-PG,11.58,-,3.27,30,36,8,2005
Tony Allen,SG,10.7,-,3.19,31.5,36.5,17,2004
Trevor Ariza,SG-SF,11.63,-,3.29,29.5,32,8,2004
Andre Barrett,PG,10.63,-,3.08,29,34.5,13,2004
Brandon Bass,PF,11.61,-,3.24,31.5,33,18,2004
Andris Biedrins,C,-,-,-,-,-,-,2004
Tony Bobbitt,SG,-,-,-,-,-,1,2004
Brian Boddicker,SF-PF,10.93,-,3.25,28,30,16,2004
Tim Bowers,PG-SG,11.24,-,3.21,37,43.5,13,2004
Andre Brown,PF-C,11.7,-,3.22,32,35.5,18,2004
Antonio Burks,PG,-,-,-,-,-,9,2004
Jackie Butler,C,13.32,-,3.4,23,25,14,2004
Aleksandar Capin,PG,11.5,-,3.27,23,29,4,2004
Ales Chan,C,12.9,-,3.62,21,29,2,2004
Josh Childress,SG-SF,11.95,-,3.38,29,36,11,2004
TJ Cummings,SF,11.58,-,3.12,27,31,6,2004
Erik Daniels,SF-PF,11.38,-,3.19,31,32,4,2004
Luol Deng,SF,11.46,-,3.34,27.5,31.5,5,2004
Marcus Douthit,C-PF,11.64,-,3.34,25.5,31.5,1,2004
Chris Duhon,PG,10.45,-,3.14,31.5,35,7,2004
John Edwards,C,-,-,-,-,-,15,2004
Andre Emmett,SG-SF,-,-,-,-,-,-,2004
Desmon Farmer,SG,10.89,-,3.2,24,31,12,2004
Luis Flores,PG-SG,10.97,-,3.1,29,32,15,2004
Matt Freije,SF-PF,11.15,-,3.25,29.5,31,13,2004
Chris Garnett,C-PF,11.75,-,3.36,27,31.5,22,2004
Ryan Gomes,SF-PF,12.49,-,3.24,26.5,30.5,9,2004
Ben Gordon,PG-SG,11.28,-,3.19,31.5,37.5,12,2004
Devin Harris,PG,11.03,-,3.19,30.5,37,5,2004
Dwight Howard,PF-C,11.21,-,3.14,30.5,35.5,7,2004
Rolando Howell,PF,11.91,-,3.28,28.5,34.5,-,2004
Kris Humphries,PF,11.33,-,3.2,29.5,36,22,2004
Andre Iguodala,SG-SF,11.17,-,3.18,30.5,34.5,4,2004
Martin Iti,C-PF,12.28,-,3.41,26.5,32.5,13,2004
Luke Jackson,SF-SG,11.1,-,3.24,26.5,36,13,2004
Al Jefferson,PF-SF,13.08,-,3.29,28.5,30,3,2004
Arthur Johnson,PF-C,11.81,-,3.38,26.5,28.5,14,2004
Ivan Koljevic,PG,11.07,-,3.28,26,28.5,4,2004
Herve Lamizana,SF-PF,-,-,-,-,-,-,2004
Sergei Lishouk,PF-SF,-,-,-,-,-,-,2004
Shaun Livingston,PG-SG,10.72,-,3.23,26.5,30,-,2004
Jaime Lloreda,PF,12.93,-,3.23,25.5,29.5,6,2004
Bryant Matthews,SF-SG,11.08,-,3.13,29,34.5,13,2004
Marcus Melvin,SF-PF,11.81,-,3.33,25,30.5,11,2004
Rich Melzer,PF-SF,11.74,-,3.39,24.5,28.5,8,2004
Ricky Minard,PG-SG,10.94,-,3.1,27.5,33,13,2004
James Moore,PF-SF,11.01,-,3.21,28.5,32.5,-,2004
Marcus Moore,PG-SG,11.31,-,3.34,25,30,-,2004
Michel Morandais,SG-SF,11.45,-,3.22,30.5,33.5,16,2004
Jameer Nelson,PG,10.95,-,3.14,28.5,33.5,15,2004
Misan Nikagbatse,SG-PG,11.27,-,3.32,27.5,32.5,11,2004
Emeka Okafor,C-PF,12.32,-,3.15,31.5,34,22,2004
Randall Orr,PF-SF,11.18,-,3.27,26.5,33,6,2004
Dylan Page,SF,10.99,-,3.4,26,30,17,2004
Drago Pasalic,PF,12.97,-,3.56,25.5,30,8,2004
Rickey Paulding,SG,11.14,-,3.17,30,36,17,2004
Kelvin Pena,SG-PG,11.5,-,3.24,27.5,32.5,1,2004
Tim Pickett,PG-SG,-,-,-,-,-,-,2004
Omar Quintero,PG,11.37,-,3.25,25,29,2,2004
Peter Ramos,C,12.61,-,3.6,24,26.5,2,2004
Jared Reiner,C-PF,12.65,-,3.56,22,26,15,2004
Lawrence Roberts,PF,12.52,-,3.3,27.5,33,18,2004
Bernard Robinson,SG-SF,10.91,-,3.17,28.5,34.5,14,2004
Nate Robinson,PG,10.75,-,2.96,35.5,43.5,13,2004
Aerick Sanders,PF,11.98,-,3.37,24.5,30.5,9,2004
Romain Sato,SG,11.27,-,3.18,31.5,35.5,8,2004
Blagota Sekulic,SF-PF,10.93,-,3.39,23.5,31.5,8,2004
Josh Smith,SG-SF,11.43,-,3.24,32.5,39.5,12,2004
J.R. Smith,SG-SF,10.93,-,3.21,29,35.5,5,2004
